"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.747778323E0;-1.830389947E-1;1.254601955E0;1.277759969E-1
1.752570566E0;-2.117400020E-1;1.267910004E0;3.669329882E-1
1.757362645E0;-1.527789980E-1;1.233214021E0;5.750610232E-1
1.762154874E0;-9.492500126E-2;1.169569016E0;7.258599997E-1
1.766946910E0;-3.803599998E-2;1.038797975E0;8.408309817E-1
1.771739139E0;4.201399907E-2;9.316959977E-1;8.936889768E-1
1.776531218E0;1.547189951E-1;8.100100160E-1;9.466689825E-1
1.781323456E0;2.667709887E-1;5.688850284E-1;1.069049001E0
1.786115535E0;2.663410008E-1;4.921939969E-1;1.162938952E0
1.790907535E0;3.991540074E-1;3.149940073E-1;1.331092000E0
1.795699764E0;5.000240207E-1;1.355150044E-1;1.432234049E0
1.800491843E0;5.930690169E-1;1.362000010E-3;1.511929989E0
1.805284072E0;6.068620086E-1;-8.766999841E-2;1.577404976E0
1.810076146E0;4.442369938E-1;-2.694199979E-2;1.643167973E0
1.814868375E0;2.993049920E-1;-1.462489963E-1;1.790420055E0
1.819660453E0;-3.819900006E-2;1.042000018E-2;1.978832960E0
